,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend.,Attend./G,Year,3PAr_Norm,ORtg_Norm,DRtg_Norm,Pace_Norm,FTr_Norm,TS%_Norm,eFG%_Norm,TOV%_Norm,ORB%_Norm,FT/FGA_Norm,OeFG%_Norm,OTOV%_Norm,DRB%_Norm,OFT/FGA_Norm
7,Boston Celtics,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,7.5,102.6,0.332,0.057,0.55,0.501,15.4,34.8,0.258,0.475,16.5,67.8,0.234,Boston Garden,596349.0,14664.0,1980,1.6453608247422682,1.0408426775399253,0.9593813046402153,0.995564180759634,1.104038004750594,1.0368973875572314,1.031167303734196,0.991264367816092,1.0439254338975787,1.1238332296204108,0.9703779366700714,1.089622641509434,1.0158390410958904,1.0033690658499235
8,Los Angeles Lakers,26.2,60,22,55,27,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,0.53,16.5,32.6,0.22,0.475,14.0,66.9,0.181,The Forum,582882.0,17505.0,1980,0.4041237113402062,1.0417940876656473,0.9782111634162745,1.0101192126420848,0.944418052256532,1.0727174791273901,1.090855630696854,1.0620689655172413,0.9779301478465825,0.9583074051026759,0.9703779366700714,0.9245283018867925,1.0023544520547945,0.7761102603369064
9,Seattle SuperSonics,27.0,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,4.6,101.8,0.298,0.025,0.52,0.474,14.9,36.4,0.229,0.463,15.4,67.9,0.221,King County Domed Stadium,1149040.0,28726.0,1980,0.7216494845360826,1.0065919130139314,0.9527908540685945,0.9878014970889937,0.9909738717339667,0.9803393482359277,0.97559541311379,0.9590804597701149,1.0919220055710308,0.9975108898568762,0.9458631256384066,1.0169811320754718,1.0173373287671232,0.9476263399693721
10,Cleveland Cavaliers,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,105.6,0.274,0.023,0.519,0.476,13.2,33.1,0.212,0.505,16.3,65.9,0.216,Coliseum at Richfield,617720.0,15443.0,1980,0.6639175257731958,1.0151546041454298,1.0017484868863484,1.0246742445245356,0.911163895486936,0.978454080258551,0.9797118494560424,0.8496551724137931,0.9929290764945362,0.9234598630989421,1.031664964249234,1.0764150943396227,0.9873715753424658,0.9261868300153139
11,Houston Rockets,27.3,41,41,41,41,0.17,0.1,0.27,108.1,108.0,0.1,101.2,0.31,0.051,0.533,0.487,15.5,37.6,0.238,0.499,16.1,63.2,0.23,The Summit,546240.0,13656.0,1980,1.4721649484536081,1.0284743459055385,1.0168123739071957,0.9819794843360135,1.0308788598574823,1.004847831941826,1.00235224933843,0.9977011494252873,1.1279194343261196,1.0367143746110765,1.0194075587334015,1.0632075471698115,0.946917808219178,0.9862174578866768
12,New Jersey Nets,26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,0.321,0.04,0.518,0.466,16.6,32.1,0.251,0.472,16.5,66.4,0.263,Rutgers Athletic Center,294560.0,7364.0,1980,1.154639175257732,0.965681277607883,0.965030262273033,1.0295259218186859,1.0674584323040381,0.9765688122811742,0.959129667744781,1.0685057471264368,0.9629312191986288,1.0933416303671437,0.9642492339121552,1.089622641509434,0.9948630136986302,1.1277182235834609
13,New York Knicks,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,0.296,0.025,0.539,0.498,15.7,33.7,0.221,0.498,16.4,64.0,0.263,Madison Square Garden (IV),783640.0,19591.0,1980,0.7216494845360826,1.0132517838939856,1.0121049092131809,1.0334072636540061,0.9843230403800475,1.0161594398060867,1.0249926492208175,1.0105747126436782,1.0109277908720808,0.9626633478531426,1.017364657814096,1.0830188679245283,0.958904109589041,1.1277182235834609
14,Washington Bullets,29.0,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,0.263,0.031,0.504,0.463,13.7,33.3,0.199,0.469,12.3,69.5,0.218,Capital Centre,380720.0,9518.0,1980,0.8948453608247423,0.981855249745158,0.9951580363147278,0.995564180759634,0.8745843230403801,0.9501750605978992,0.9529550132314026,0.88183908045977,0.9989286479537176,0.866832607342875,0.958120531154239,0.8122641509433963,1.0413099315068493,0.9347626339969372
15,Chicago Bulls,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.291,0.5,15.7,68.0,0.251,Chicago Stadium,740320.0,18508.0,1980,1.154639175257732,0.9923207611281005,1.0073974445191662,0.9878014970889937,1.2403800475059383,1.0274710476703475,1.0064686856806822,1.1071264367816092,0.9659310049282196,1.267579340385812,1.0214504596527068,1.0367924528301886,1.018835616438356,1.0762633996937212
16,San Diego Clippers,27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,0.289,0.072,0.522,0.482,14.6,34.2,0.213,0.503,14.2,65.4,0.215,San Diego Sports Arena,340120.0,8503.0,1980,2.0783505154639172,1.0056405028882094,1.033759246805649,0.9839201552536735,0.9610451306413301,0.9841098841906813,0.9920611584827992,0.9397701149425287,1.0259267195200346,0.9278158058494088,1.0275791624106232,0.9377358490566038,0.9798801369863014,0.9218989280245022
