,Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Arena,Attend.,Attend./G,Year
0,Los Angeles Lakers,53,29,48,34,2.72,-0.08,2.64,101.4,98.9,2.5,104.7,0.253,0.0,0.515,0.478,15.3,31.0,0.188,The Forum,501434.0,12535.85,1977
1,Boston Celtics,44,38,36,46,-1.98,0.08,-1.9,96.5,98.3,-1.8,107.5,0.281,0.0,0.491,0.445,16.1,31.1,0.212,Boston Garden,517391.0,12934.775,1977
2,New Orleans Jazz,35,47,33,49,-2.82,0.13,-2.68,97.0,99.7,-2.7,107.2,0.287,0.0,0.501,0.453,16.6,31.0,0.222,Louisiana Superdome,441320.0,11033.0,1977
3,Los Angeles Lakers,45,37,48,34,2.67,-0.08,2.59,103.3,100.8,2.5,106.1,0.273,0.0,0.526,0.487,15.3,30.4,0.205,The Forum,534017.0,13350.425,1978
4,Boston Celtics,32,50,36,46,-1.95,0.09,-1.86,99.1,100.9,-1.8,105.9,0.283,0.0,0.505,0.458,16.1,32.4,0.22,Boston Garden,437937.0,10948.425,1978
5,Los Angeles Lakers,47,35,49,33,3.06,-0.12,2.95,106.1,103.2,2.9,105.9,0.282,0.0,0.557,0.517,15.9,27.6,0.217,The Forum,482611.0,12065.275,1979
6,Boston Celtics,29,53,28,54,-5.05,0.27,-4.78,101.6,106.4,-4.8,106.5,0.316,0.0,0.53,0.48,17.0,31.3,0.248,Boston Garden,417926.0,10448.15,1979
7,Boston Celtics,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,7.5,102.6,0.332,0.057,0.55,0.501,15.4,34.8,0.258,Boston Garden,596349.0,14664.0,1980
8,Los Angeles Lakers,60,22,55,27,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,0.53,16.5,32.6,0.22,The Forum,582882.0,17505.0,1980
9,Seattle SuperSonics,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,4.6,101.8,0.298,0.025,0.52,0.474,14.9,36.4,0.229,King County Domed Stadium,1149040.0,28726.0,1980
10,Cleveland Cavaliers,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,105.6,0.274,0.023,0.519,0.476,13.2,33.1,0.212,Coliseum at Richfield,617720.0,15443.0,1980
11,Houston Rockets,41,41,41,41,0.17,0.1,0.27,108.1,108.0,0.1,101.2,0.31,0.051,0.533,0.487,15.5,37.6,0.238,The Summit,546240.0,13656.0,1980
12,New Jersey Nets,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,0.321,0.04,0.518,0.466,16.6,32.1,0.251,Rutgers Athletic Center,294560.0,7364.0,1980
13,New York Knicks,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,0.296,0.025,0.539,0.498,15.7,33.7,0.221,Madison Square Garden (IV),783640.0,19591.0,1980
14,Washington Bullets,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,0.263,0.031,0.504,0.463,13.7,33.3,0.199,Capital Centre,380720.0,9518.0,1980
15,Chicago Bulls,30,52,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.291,Chicago Stadium,740320.0,18508.0,1980
16,San Diego Clippers,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,0.289,0.072,0.522,0.482,14.6,34.2,0.213,San Diego Sports Arena,340120.0,8503.0,1980
17,Denver Nuggets,30,52,30,52,-4.41,0.2,-4.22,103.4,107.6,-4.2,103.9,0.34,0.034,0.517,0.469,15.1,33.6,0.25,McNichols Sports Arena,691920.0,17298.0,1980
18,Golden State Warriors,24,58,29,53,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,0.484,15.5,31.1,0.193,Oakland-Alameda County Coliseum Arena,530280.0,13257.0,1980
19,Utah Jazz,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,0.285,0.027,0.547,0.5,16.7,29.7,0.23,Salt Palace,493080.0,12327.0,1980
20,Detroit Pistons,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,0.283,0.029,0.523,0.483,16.9,32.3,0.209,Pontiac Silverdome,445520.0,11138.0,1980
21,Philadelphia 76ers,62,20,60,22,7.85,-0.09,7.76,107.0,99.5,7.5,103.4,0.343,0.012,0.562,0.515,17.3,32.3,0.264,The Spectrum,469355.0,11733.875,1981
22,Milwaukee Bucks,60,22,59,23,7.27,-0.13,7.14,108.7,101.8,6.9,103.6,0.313,0.018,0.546,0.5,15.7,36.3,0.241,MECCA Arena,448366.0,11209.15,1981
23,Boston Celtics,62,20,56,26,5.88,0.17,6.05,108.4,102.6,5.8,100.8,0.334,0.034,0.553,0.509,16.2,34.7,0.251,Boston Garden,595454.0,14886.35,1981
24,Phoenix Suns,57,25,55,27,5.51,-0.68,4.83,104.6,99.4,5.2,104.7,0.332,0.022,0.537,0.492,17.1,35.1,0.247,Arizona Veterans Memorial Coliseum,482693.0,12067.325,1981
25,Los Angeles Lakers,54,28,51,31,3.84,-0.57,3.27,107.6,103.9,3.7,102.7,0.286,0.013,0.548,0.513,15.8,33.9,0.209,The Forum,538865.0,13471.625,1981
26,San Antonio Spurs,52,30,48,34,2.88,-0.7,2.18,108.5,105.7,2.8,102.9,0.367,0.012,0.545,0.492,15.4,37.5,0.282,HemisFair Arena,440553.0,11013.825,1981
27,Chicago Bulls,45,37,46,36,1.98,0.37,2.34,107.8,105.8,2.0,100.6,0.371,0.026,0.556,0.504,17.2,36.9,0.288,Chicago Stadium,391118.0,9777.95,1981
28,New York Knicks,50,32,45,37,1.62,0.38,2.0,106.0,104.4,1.6,101.0,0.329,0.033,0.533,0.487,15.0,31.6,0.246,Madison Square Garden (IV),544641.0,13616.025,1981
29,Indiana Pacers,44,38,45,37,1.4,0.32,1.72,106.4,105.0,1.4,100.9,0.351,0.023,0.528,0.484,15.1,35.5,0.251,Market Square Arena,415339.0,10383.475,1981
30,Portland Trail Blazers,45,37,43,39,0.89,-0.37,0.52,106.5,105.7,0.8,103.0,0.291,0.02,0.534,0.498,15.2,33.9,0.209,Memorial Coliseum,519306.0,12982.65,1981
31,Houston Rockets,40,42,42,40,0.33,-0.53,-0.2,107.0,106.7,0.3,100.5,0.303,0.016,0.534,0.489,14.9,33.9,0.233,The Summit,385354.0,9633.85,1981
32,Washington Bullets,39,43,41,41,0.01,0.41,0.42,102.7,102.7,0.0,102.4,0.276,0.032,0.514,0.476,14.4,30.5,0.199,Capital Centre,377238.0,9430.95,1981
33,Kansas City Kings,40,42,41,41,0.01,-0.51,-0.49,104.7,104.7,0.0,101.3,0.308,0.023,0.54,0.503,15.1,29.2,0.22,Kemper Arena,336385.0,8409.625,1981
34,Denver Nuggets,37,45,40,42,-0.48,-0.47,-0.95,109.4,109.8,-0.4,109.8,0.383,0.018,0.537,0.477,13.4,33.1,0.3,McNichols Sports Arena,423287.0,15252.0,1981
35,Golden State Warriors,39,43,38,44,-1.18,-0.23,-1.41,108.5,109.7,-1.2,101.0,0.345,0.029,0.537,0.493,15.6,38.8,0.251,Oakland-Alameda County Coliseum Arena,412969.0,10324.225,1981
36,San Diego Clippers,36,46,37,45,-1.59,-0.2,-1.78,106.0,107.6,-1.6,100.2,0.308,0.056,0.528,0.486,14.5,33.0,0.227,San Diego Sports Arena,257597.0,6439.925,1981
37,Seattle SuperSonics,34,48,37,45,-1.65,-0.2,-1.84,103.2,104.8,-1.6,100.3,0.333,0.016,0.521,0.47,15.7,33.1,0.254,King County Domed Stadium,675097.0,16877.425,1981
38,Atlanta Hawks,31,51,33,49,-3.1,0.73,-2.37,104.3,107.3,-3.0,99.4,0.377,0.012,0.537,0.48,16.7,34.1,0.293,Omni Coliseum,362699.0,9067.475,1981
39,Cleveland Cavaliers,28,54,29,53,-4.85,0.7,-4.15,104.3,109.1,-4.8,100.8,0.251,0.033,0.513,0.472,14.2,33.5,0.195,Coliseum at Richfield,224499.0,5612.475,1981
40,New Jersey Nets,24,58,26,56,-6.02,0.87,-5.15,101.0,106.7,-5.7,105.2,0.324,0.019,0.525,0.478,16.6,30.4,0.243,Rutgers Athletic Center,301900.0,8402.0,1981
41,Utah Jazz,28,54,26,56,-5.89,-0.1,-5.99,103.4,109.4,-6.0,97.7,0.305,0.024,0.536,0.491,15.5,28.3,0.234,Salt Palace,307835.0,7695.875,1981
42,Detroit Pistons,21,61,24,58,-6.32,0.74,-5.58,98.1,104.3,-6.2,101.2,0.334,0.012,0.51,0.464,18.0,33.4,0.242,Pontiac Silverdome,228348.0,5708.7,1981
43,Dallas Mavericks,15,67,20,62,-8.4,0.07,-8.33,102.4,110.8,-8.4,98.6,0.359,0.024,0.519,0.466,15.2,30.7,0.27,Reunion Arena,319347.0,7983.675,1981
44,Boston Celtics,63,19,57,25,6.38,-0.03,6.35,109.8,103.5,6.3,101.5,0.335,0.025,0.545,0.502,14.7,35.8,0.248,Boston Garden,612711.0,15317.775,1982
45,Philadelphia 76ers,58,24,56,26,5.73,0.0,5.74,109.6,103.9,5.7,100.6,0.354,0.02,0.566,0.521,15.5,30.5,0.265,The Spectrum,498901.0,12472.525,1982
46,Milwaukee Bucks,55,27,55,27,5.48,-0.1,5.38,107.7,102.3,5.4,100.0,0.332,0.023,0.553,0.509,16.5,35.1,0.25,MECCA Arena,443288.0,11082.2,1982
47,Los Angeles Lakers,57,25,53,29,4.87,-0.5,4.37,110.2,105.5,4.7,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,The Forum,605236.0,15130.9,1982
48,Seattle SuperSonics,52,30,52,30,4.13,-0.45,3.69,106.4,102.3,4.1,100.0,0.329,0.021,0.535,0.491,14.1,31.3,0.243,King County Domed Stadium,721049.0,18026.225,1982
